sample	copynumber	more_than1	presence
/Volumes/Storage/kuruka/deviaTE/raw-data//DrosEu-149.fastq.sort.bam.Kuruka	0.0984309695101062	0	absent
/Volumes/Storage/kuruka/deviaTE/raw-data//DrosEu-15.fastq.sort.bam.Kuruka	1.046594495831906	4293	absent
/Volumes/Storage/kuruka/deviaTE/raw-data//DrosEu-150.fastq.sort.bam.Kuruka	0.11165970081077996	91	absent
/Volumes/Storage/kuruka/deviaTE/raw-data//DrosEu-151.fastq.sort.bam.Kuruka	0.1205262076053443	0	absent
/Volumes/Storage/kuruka/deviaTE/raw-data//DrosEu-152.fastq.sort.bam.Kuruka	0.33839020212401505	1444	absent
/Volumes/Storage/kuruka/deviaTE/raw-data//DrosEu-153.fastq.sort.bam.Kuruka	0.25118750713714744	824	absent
/Volumes/Storage/kuruka/deviaTE/raw-data//DrosEu-154.fastq.sort.bam.Kuruka	0.23390236382322713	385	absent
/Volumes/Storage/kuruka/deviaTE/raw-data//DrosEu-155.fastq.sort.bam.Kuruka	0.25690065090784514	121	absent
/Volumes/Storage/kuruka/deviaTE/raw-data//DrosEu-156.fastq.sort.bam.Kuruka	0.30478816946442844	296	absent
/Volumes/Storage/kuruka/deviaTE/raw-data//DrosEu-157.fastq.sort.bam.Kuruka	0.3975431083704465	422	absent
/Volumes/Storage/kuruka/deviaTE/raw-data//DrosEu-159.fastq.sort.bam.Kuruka	0.38858387575653763	1382	absent
/Volumes/Storage/kuruka/deviaTE/raw-data//DrosEu-16.fastq.sort.bam.Kuruka	1.187127555098778	4941	absent
/Volumes/Storage/kuruka/deviaTE/raw-data//DrosEu-160.fastq.sort.bam.Kuruka	0.35228811236724905	335	absent
/Volumes/Storage/kuruka/deviaTE/raw-data//DrosEu-161.fastq.sort.bam.Kuruka	0.26065147881694645	430	absent
/Volumes/Storage/kuruka/deviaTE/raw-data//DrosEu-162.fastq.sort.bam.Kuruka	0.36219173232842294	1247	absent
/Volumes/Storage/kuruka/deviaTE/raw-data//DrosEu-163.fastq.sort.bam.Kuruka	0.2635263217997031	510	absent
/Volumes/Storage/kuruka/deviaTE/raw-data//DrosEu-164.fastq.sort.bam.Kuruka	0.2742291880781089	809	absent
/Volumes/Storage/kuruka/deviaTE/raw-data//DrosEu-165.fastq.sort.bam.Kuruka	0.20235594381637548	218	absent
/Volumes/Storage/kuruka/deviaTE/raw-data//DrosEu-166.fastq.sort.bam.Kuruka	0.18730387118876327	273	absent
/Volumes/Storage/kuruka/deviaTE/raw-data//DrosEu-167.fastq.sort.bam.Kuruka	0.10636062578508622	63	absent
/Volumes/Storage/kuruka/deviaTE/raw-data//DrosEu-168.fastq.sort.bam.Kuruka	0.14008153477218224	0	absent
/Volumes/Storage/kuruka/deviaTE/raw-data//DrosEu-169.fastq.sort.bam.Kuruka	0.1295334018499486	73	absent
/Volumes/Storage/kuruka/deviaTE/raw-data//DrosEu-17.fastq.sort.bam.Kuruka	4.316404248030147	7695	present
/Volumes/Storage/kuruka/deviaTE/raw-data//DrosEu-170.fastq.sort.bam.Kuruka	0.30253283087815463	733	absent
/Volumes/Storage/kuruka/deviaTE/raw-data//DrosEu-171.fastq.sort.bam.Kuruka	3.239899623158616	7618	present
/Volumes/Storage/kuruka/deviaTE/raw-data//DrosEu-172.fastq.sort.bam.Kuruka	0.5470826767157703	1808	absent
/Volumes/Storage/kuruka/deviaTE/raw-data//DrosEu-173.fastq.sort.bam.Kuruka	0.5553852917665867	1820	absent
/Volumes/Storage/kuruka/deviaTE/raw-data//DrosEu-174.fastq.sort.bam.Kuruka	0.18519618590841613	298	absent
/Volumes/Storage/kuruka/deviaTE/raw-data//DrosEu-175.fastq.sort.bam.Kuruka	0.11679011076852804	6	absent
/Volumes/Storage/kuruka/deviaTE/raw-data//DrosEu-176.fastq.sort.bam.Kuruka	0.1744160100491036	31	absent
/Volumes/Storage/kuruka/deviaTE/raw-data//DrosEu-177.fastq.sort.bam.Kuruka	0.24817597350690876	666	absent
/Volumes/Storage/kuruka/deviaTE/raw-data//DrosEu-178.fastq.sort.bam.Kuruka	0.09791709489551216	0	absent
/Volumes/Storage/kuruka/deviaTE/raw-data//DrosEu-179.fastq.sort.bam.Kuruka	0.1350778805527007	112	absent
/Volumes/Storage/kuruka/deviaTE/raw-data//DrosEu-18.fastq.sort.bam.Kuruka	1.166545049674546	4357	absent
/Volumes/Storage/kuruka/deviaTE/raw-data//DrosEu-180.fastq.sort.bam.Kuruka	0.1307670435080507	39	absent
/Volumes/Storage/kuruka/deviaTE/raw-data//DrosEu-181.fastq.sort.bam.Kuruka	0.19046785428799817	368	absent
/Volumes/Storage/kuruka/deviaTE/raw-data//DrosEu-182.fastq.sort.bam.Kuruka	0.1552247344981158	82	absent
/Volumes/Storage/kuruka/deviaTE/raw-data//DrosEu-183.fastq.sort.bam.Kuruka	0.2923363023866621	410	absent
/Volumes/Storage/kuruka/deviaTE/raw-data//DrosEu-184.fastq.sort.bam.Kuruka	0.309829279433596	1046	absent
/Volumes/Storage/kuruka/deviaTE/raw-data//DrosEu-186.fastq.sort.bam.Kuruka	0.15428925431083704	79	absent
/Volumes/Storage/kuruka/deviaTE/raw-data//DrosEu-187.fastq.sort.bam.Kuruka	0.8214306269270298	3031	absent
/Volumes/Storage/kuruka/deviaTE/raw-data//DrosEu-188.fastq.sort.bam.Kuruka	1.0864233184880667	4022	absent
/Volumes/Storage/kuruka/deviaTE/raw-data//DrosEu-189.fastq.sort.bam.Kuruka	0.7455775950668037	2566	absent
/Volumes/Storage/kuruka/deviaTE/raw-data//DrosEu-19.fastq.sort.bam.Kuruka	0.2571984697955921	724	absent
/Volumes/Storage/kuruka/deviaTE/raw-data//DrosEu-190.fastq.sort.bam.Kuruka	0.5952362681283545	1416	absent
/Volumes/Storage/kuruka/deviaTE/raw-data//DrosEu-191.fastq.sort.bam.Kuruka	0.3177842868562293	1306	absent
/Volumes/Storage/kuruka/deviaTE/raw-data//DrosEu-192.fastq.sort.bam.Kuruka	0.18613634806440563	170	absent
