ERR6474638,Kuruka,0.66,0.07
SRR097730,Kuruka,2.17,0.21
SRR098323,Kuruka,44.89,1.33
SRR098324,Kuruka,35.71,0.63
SRR098915,Kuruka,22.28,0.48
SRR098916,Kuruka,21.95,0.31
SRR105048,Kuruka,83.63,0.27
SRR11460801,Kuruka,0.95,0.07
SRR11846555,Kuruka,4.39,0.13
SRR11846560,Kuruka,1.59,0.09
SRR11846565,Kuruka,2.03,0.09
SRR13257684,Kuruka,0.68,0.07
SRR14293140,Kuruka,0.84,0.04
SRR14293191,Kuruka,0.46,0.04
SRR14293233,Kuruka,0.20,0.02
SRR14293574,Kuruka,0.82,0.03
SRR14293576,Kuruka,0.32,0.03
SRR14294393,Kuruka,1.14,0.04
SRR14294796,Kuruka,0.86,0.03
SRR14294899,Kuruka,0.78,0.03
SRR14294940,Kuruka,0.52,0.02
SRR14294944,Kuruka,0.23,0.03
SRR14296430,Kuruka,0.53,0.05
SRR14296646,Kuruka,0.53,0.05
SRR14296993,Kuruka,0.26,0.03
SRR14297433,Kuruka,1.14,0.06
SRR14297434,Kuruka,0.33,0.04
SRR14297441,Kuruka,0.47,0.03
SRR14297455,Kuruka,0.17,0.02
SRR14297456,Kuruka,1.40,0.07
SRR14297770,Kuruka,0.75,0.05
SRR14297794,Kuruka,0.63,0.04
SRR14297795,Kuruka,0.53,0.04
SRR14297796,Kuruka,1.01,0.06
SRR14297813,Kuruka,0.43,0.03
SRR14297954,Kuruka,0.78,0.03
SRR14298002,Kuruka,0.65,0.02
SRR14298028,Kuruka,0.73,0.03
SRR14298055,Kuruka,0.37,0.03
SRR14298064,Kuruka,0.47,0.01
SRR14298091,Kuruka,0.71,0.02
SRR14298093,Kuruka,0.43,0.03
SRR14298094,Kuruka,0.65,0.04
SRR14298105,Kuruka,0.62,0.02
SRR14306821,Kuruka,11.56,1.09
SRR14306822,Kuruka,1.19,0.05
SRR14306823,Kuruka,0.19,0.02
SRR14306824,Kuruka,0.73,0.05
SRR14306825,Kuruka,1.16,0.09
SRR14306826,Kuruka,0.40,0.03
SRR14306827,Kuruka,0.51,0.04
SRR14306828,Kuruka,0.82,0.06
SRR14306829,Kuruka,0.58,0.04
SRR14306830,Kuruka,0.41,0.03
SRR14306831,Kuruka,0.38,0.03
SRR14306832,Kuruka,0.73,0.03
SRR14306833,Kuruka,0.99,0.05
SRR14306834,Kuruka,1.05,0.05
SRR14306835,Kuruka,1.25,0.12
SRR14306836,Kuruka,1.20,0.06
SRR14306837,Kuruka,1.66,0.08
SRR14306838,Kuruka,0.20,0.03
SRR14306839,Kuruka,0.94,0.07
SRR14306840,Kuruka,0.18,0.02
SRR14306841,Kuruka,1.44,0.06
SRR14306842,Kuruka,0.94,0.07
SRR14306843,Kuruka,1.48,0.07
SRR14306844,Kuruka,2.17,0.10
SRR14306845,Kuruka,1.01,0.06
SRR14306846,Kuruka,1.03,0.05
SRR14306847,Kuruka,1.02,0.05
SRR14306848,Kuruka,1.00,0.06
SRR14306849,Kuruka,0.71,0.06
SRR14306850,Kuruka,0.78,0.08
SRR14308759,Kuruka,2.46,0.08
SRR14308760,Kuruka,2.34,0.09
SRR14308761,Kuruka,2.54,0.08
SRR14308762,Kuruka,2.61,0.09
SRR14308763,Kuruka,0.82,0.04
SRR14308764,Kuruka,0.31,0.03
SRR14308765,Kuruka,0.35,0.03
SRR14308766,Kuruka,0.31,0.03
SRR14308767,Kuruka,2.34,0.08
SRR14308768,Kuruka,2.33,0.09
SRR14308769,Kuruka,2.19,0.09
SRR14308770,Kuruka,2.35,0.09
SRR14308771,Kuruka,2.12,0.08
SRR14308772,Kuruka,2.14,0.08
SRR14308773,Kuruka,2.64,0.11
SRR14308774,Kuruka,2.27,0.08
SRR14308775,Kuruka,0.13,0.02
SRR14308776,Kuruka,0.28,0.02
SRR1525694,Kuruka,1.17,0.06
SRR1525695,Kuruka,1.38,0.07
SRR1525696,Kuruka,0.86,0.06
SRR1525697,Kuruka,3.29,0.22
SRR1525698,Kuruka,1.46,0.07
SRR1525699,Kuruka,1.86,0.05
SRR1525768,Kuruka,1.60,0.06
SRR1525770,Kuruka,24.63,1.26
SRR1525773,Kuruka,1.24,0.06
SRR1662283,Kuruka,6.18,0.15
SRR1663528,Kuruka,5.92,0.12
SRR1663529,Kuruka,10.89,0.19
SRR1663530,Kuruka,4.31,0.11
SRR1663531,Kuruka,5.41,0.11
SRR1663532,Kuruka,7.18,0.14
SRR1663533,Kuruka,5.10,0.10
SRR1663534,Kuruka,2.58,0.09
SRR1663535,Kuruka,3.36,0.11
SRR1663536,Kuruka,3.06,0.10
SRR1663537,Kuruka,5.36,0.13
SRR1663538,Kuruka,3.97,0.09
SRR1663539,Kuruka,4.64,0.10
SRR1663540,Kuruka,7.45,0.14
SRR1663541,Kuruka,1.30,0.19
SRR1663542,Kuruka,5.99,0.14
SRR1663543,Kuruka,10.95,0.20
SRR1663544,Kuruka,6.81,0.16
SRR1663545,Kuruka,7.06,0.15
