name	genus	species	subspecies	species_group	species_subgroup	group	group2	realm1	realm2	region		notes
D.planitibia	Drosophila	planitibia		planitibia	picticornis	hawaiian	hawaiian	Pacific Islands	Pacific Islands	Hawaii		hawaiian
D.prosaltans	Drosophila	prosaltans		saltans	saltans	saltans	saltans	Neotropic	Neotropic	Neotropic		
D.prostipennis	Drosophila	prostipennis		melanogaster	takahashii	melanogaster	melanogaster	Indo-Malayan	Indo-Malayan	EastAsia-Oceania		
D.pruinosa	Drosophila	pruinosa		incertae sedis		immigrans-tripunctata	immigrans-tripunctata	Afrotropic	Afrotropic	Afrotropic		
D.pseudoananassae.nigrens	Drosophila	pseudoananassae	nigrens	melanogaster	ananassae	melanogaster	melanogaster	Australasian	Australasian	EastAsia-Oceania		
D.pseudoananassae.pseudoananassae	Drosophila	pseudoananassae	pseudoananassae	melanogaster	ananassae	melanogaster	melanogaster	Australasian	Australasian	EastAsia-Oceania		
D.pseudoobscura	Drosophila	pseudoobscura		obscura	pseudoobscura	obscura	obscura	Nearctic	Cosmopolitan	Nearctic		
D.pseudotakahashii	Drosophila	pseudotakahashii		melanogaster	takahashii	melanogaster	melanogaster	Australasian	Australasian	EastAsia-Oceania		
D.pseudotalamancana	Drosophila	pseudotalamancana		annulimana		virilis-repleta	virilis-repleta	Neotropic	Neotropic	Neotropic		
D.pullipes	Drosophila	pullipes		crucigera	pullipes	hawaiian	hawaiian	Pacific Islands	Pacific Islands	Hawaii		hawaiian
D.putrida	Drosophila	putrida		testacea		immigrans-tripunctata	immigrans-tripunctata	Nearctic	Nearctic	Nearctic		
D.quadrilineata	Drosophila	quadrilineata		immigrans	quadrilineata	immigrans-tripunctata	immigrans-tripunctata	Pacific Islands	Pacific Islands	Hawaii		hawaiian
D.quasianomalipes	Drosophila	quasianomalipes		anomalipes		hawaiian	hawaiian	Pacific Islands	Pacific Islands	Hawaii		hawaiian
D.quinaria	Drosophila	quinaria		quinaria		immigrans-tripunctata	immigrans-tripunctata	Nearctic	Nearctic	Nearctic		
D.recens	Drosophila	recens		quinaria		immigrans-tripunctata	immigrans-tripunctata	Nearctic	Nearctic	Nearctic		
D.rellima	Drosophila	rellima		quinaria		immigrans-tripunctata	immigrans-tripunctata	Nearctic	Nearctic	Nearctic		
D.repleta.06	Drosophila	repleta		repleta	mulleri	virilis-repleta	virilis-repleta	Neotropic	Cosmopolitan	Neotropic		
D.repleta.kari30	Drosophila	repleta		repleta	mulleri	virilis-repleta	virilis-repleta	Neotropic	Cosmopolitan	Neotropic		
D.repletoides	Drosophila	repletoides		tumiditarsus		virilis-repleta	virilis-repleta	Indo-Malayan	Indo-Malayan	EastAsia-Oceania		
D.rhopaloa	Drosophila	rhopaloa		melanogaster	rhopaloa	melanogaster	melanogaster	Indo-Malayan	Indo-Malayan	EastAsia-Oceania		
D.robusta	Drosophila	robusta		robusta	lacertosa	virilis-repleta	virilis-repleta	Nearctic	Nearctic	Nearctic		
D.rubida	Drosophila	rubida		immigrans	hypocausta	immigrans-tripunctata	immigrans-tripunctata	Australasian	Australasian	EastAsia-Oceania		
