name	genus	species	subspecies	species_group	species_subgroup	group	group2	realm1	realm2	region		notes
D.bocqueti	Drosophila	bocqueti		melanogaster	montium	melanogaster	melanogaster	Afrotropic	Afrotropic	Afrotropic		
D.borealis	Drosophila	borealis		virilis		virilis-repleta	virilis-repleta	Nearctic	Nearctic	Nearctic		
D.bunnanda	Drosophila	bunnanda		melanogaster	montium	melanogaster	melanogaster	Australasian	Australasian	EastAsia-Oceania		
D.buzzatii	Drosophila	buzzatii		repleta	mulleri	virilis-repleta	virilis-repleta	Neotropic	Neotropic	Neotropic		
D.cardini	Drosophila	cardini		cardini	cardini	immigrans-tripunctata	immigrans-tripunctata	Neotropic	Neotropic	Neotropic		
D.carrolli	Drosophila	carrolli		melanogaster	rhopaloa	melanogaster	melanogaster	Indo-Malayan	Indo-Malayan	EastAsia-Oceania		
D.cognata	Drosophila	cognata		antopocerus	diamphidiopoda	hawaiian	hawaiian	Pacific Islands	Pacific Islands	Hawaii		hawaiian
D.colorata	Drosophila	colorata		melanica		virilis-repleta	virilis-repleta	Nearctic	Nearctic	Nearctic		
D.conformis	Drosophila	conformis				hawaiian	hawaiian	Pacific Islands	Pacific Islands	Hawaii		hawaiian
D.cracens	Drosophila	cracens				hawaiian	hawaiian	Pacific Islands	Pacific Islands	Hawaii		hawaiian
D.crucigera	Drosophila	crucigera		grimshawi	crucigera	hawaiian	hawaiian	Pacific Islands	Pacific Islands	Hawaii		hawaiian
D.cyrtoloma	Drosophila	cyrtoloma		planitibia	cyrtoloma	hawaiian	hawaiian	Pacific Islands	Pacific Islands	Hawaii		hawaiian
D.demipolita	Drosophila	demipolita		haleakalae	anthrax	hawaiian	hawaiian	Pacific Islands	Pacific Islands	Hawaii		hawaiian
D.differens	Drosophila	differens		planitibia	planitibia	hawaiian	hawaiian	Pacific Islands	Pacific Islands	Hawaii		hawaiian
D.dives	Drosophila	dives		haleakalae	polita	hawaiian	hawaiian	Pacific Islands	Pacific Islands	Hawaii		hawaiian
D.dunni	Drosophila	dunni		cardini	dunni	immigrans-tripunctata	immigrans-tripunctata	Neotropic	Neotropic	Neotropic		
D.elegans	Drosophila	elegans		melanogaster	elegans	melanogaster	melanogaster	Australasian	Australasian	EastAsia-Oceania		
D.emarginata	Drosophila	emarginata		saltans	elliptica	saltans	saltans	Neotropic	Neotropic	Neotropic		
D.engyochracea	Drosophila	engyochracea		grimshawi	orphnopeza	hawaiian	hawaiian	Pacific Islands	Pacific Islands	Hawaii		hawaiian
D.eohydei	Drosophila	eohydei		repleta	hydei	virilis-repleta	virilis-repleta	Neotropic	Neotropic	Neotropic		
D.equinoxialis	Drosophila	equinoxialis		willistoni	willistoni	willistoni	willistoni	Neotropic	Neotropic	Neotropic		
D.ercepeae	Drosophila	ercepeae		melanogaster	ananassae	melanogaster	melanogaster	Afrotropic	Afrotropic	Afrotropic		Reunion Island
D.erecta	Drosophila	erecta		melanogaster	melanogaster	melanogaster	Dmel subgroup	Afrotropic	Afrotropic	Afrotropic		
D.eugracilis	Drosophila	eugracilis		melanogaster	eugracilis	melanogaster	melanogaster	Indo-Malayan	Indo-Malayan	EastAsia-Oceania		
D.ezoana	Drosophila	ezoana		virilis		virilis-repleta	virilis-repleta	Palearctic	Palearctic	Palearctic		
D.falleni	Drosophila	falleni		quinaria		immigrans-tripunctata	immigrans-tripunctata	Nearctic	Nearctic	Nearctic		
D.ficusphila	Drosophila	ficusphila		melanogaster	ficusphila	melanogaster	melanogaster	Indo-Malayan	Indo-Malayan	EastAsia-Oceania		
D.flavopinicola	Drosophila	flavopinicola		pinicola		immigrans-tripunctata	immigrans-tripunctata	Nearctic	Nearctic	Nearctic		
D.formosana	Drosophila	formosana		immigrans	immigrans	immigrans-tripunctata	immigrans-tripunctata	Indo-Malayan	Indo-Malayan	EastAsia-Oceania		
D.fulvimacula	Drosophila	fulvimacula		repleta	repleta	virilis-repleta	virilis-repleta	Neotropic	Neotropic	Neotropic		
D.funebris	Drosophila	funebris		funebris	macrospina	immigrans-tripunctata	immigrans-tripunctata	Palearctic	Palearctic	Palearctic		holarctic
D.fungiperda	Drosophila	fungiperda		haleakalae	fungiperda	hawaiian	hawaiian	Pacific Islands	Pacific Islands	Hawaii		hawaiian
D.fuyamai	Drosophila	fuyamai		rhopaloa	fuyamai	melanogaster	melanogaster	Indo-Malayan	Indo-Malayan	EastAsia-Oceania		
D.gaucha	Drosophila	gaucha		mesophragmatica	mesophragmatica	virilis-repleta	virilis-repleta	Neotropic	Neotropic	Neotropic		
D.glabriapex	Drosophila	glabriapex		grimshawi	pilimana	hawaiian	hawaiian	Pacific Islands	Pacific Islands	Hawaii		hawaiian
D.grimshawi	Drosophila	grimshawi		grimshawi	crucigera	hawaiian	hawaiian	Pacific Islands	Pacific Islands	Hawaii		hawaiian
D.gunungcola	Drosophila	gunungcola		melanogaster	elegans	melanogaster	melanogaster	Indo-Malayan	Indo-Malayan	EastAsia-Oceania		
D.hamatofila	Drosophila	hamatofila		repleta	mulleri	virilis-repleta	virilis-repleta	Neotropic	Neotropic	Neotropic		
D.hawaiiensis	Drosophila	hawaiiensis		grimshawi	hawaiiensis	hawaiian	hawaiian	Pacific Islands	Pacific Islands	Hawaii		hawaiian
D.helvetica	Drosophila	helvetica		obscura	obscura	obscura	obscura	Palearctic	Palearctic	Palearctic		
D.heteroneura	Drosophila	heteroneura		planitibia	planitibia	hawaiian	hawaiian	Pacific Islands	Pacific Islands	Hawaii		hawaiian
D.histrio	Drosophila	histrio		histrio		immigrans-tripunctata	immigrans-tripunctata	Palearctic	Palearctic	Palearctic		
D.immigrans.12	Drosophila	immigrans		immigrans	immigrans	immigrans-tripunctata	immigrans-tripunctata	Indo-Malayan	Cosmopolitan	EastAsia-Oceania		Native to IM
D.immigrans.kari17	Drosophila	immigrans		immigrans	immigrans	immigrans-tripunctata	immigrans-tripunctata	Indo-Malayan	Cosmopolitan	EastAsia-Oceania		Native to IM
D.imparisetae	Drosophila	imparisetae				hawaiian	hawaiian	Pacific Islands	Pacific Islands	Hawaii		hawaiian
D.incognita	Drosophila	incognita				hawaiian	hawaiian	Pacific Islands	Pacific Islands	Hawaii		hawaiian
D.infuscata	Drosophila	infuscata			mimica	hawaiian	hawaiian	Pacific Islands	Pacific Islands	Hawaii		hawaiian
D.insularis	Drosophila	insularis		willistoni	willistoni	willistoni	willistoni	Neotropic	Neotropic	Neotropic		
D.jambulina	Drosophila	jambulina		melanogaster	montium	melanogaster	melanogaster	Indo-Malayan	Indo-Malayan	EastAsia-Oceania		
D.kambysellisi	Drosophila	kambysellisi			conjectura	hawaiian	hawaiian	Pacific Islands	Pacific Islands	Hawaii		hawaiian
D.kanekoi	Drosophila	kanekoi		virilis		virilis-repleta	virilis-repleta	Indo-Malayan	Palearctic	EastAsia-Oceania		Japan
D.kikkawai	Drosophila	kikkawai		melanogaster	montium	melanogaster	melanogaster	Indo-Malayan	Cosmopolitan	EastAsia-Oceania		circumtropical
D.kokeensis	Drosophila	kokeensis				hawaiian	hawaiian	Pacific Islands	Pacific Islands	Hawaii		hawaiian
D.kuntzei	Drosophila	kuntzei		quinaria		immigrans-tripunctata	immigrans-tripunctata	Palearctic	Palearctic	Palearctic		
D.kurseongensis	Drosophila	kurseongensis		melanogaster	rhopaloa	melanogaster	melanogaster	Indo-Malayan	Indo-Malayan	EastAsia-Oceania		
D.lacicola	Drosophila	lacicola		virilis		virilis-repleta	virilis-repleta	Nearctic	Nearctic	Nearctic		
D.leonis	Drosophila	leonis		repleta	mulleri	virilis-repleta	virilis-repleta	Neotropic	Neotropic	Neotropic		
D.lindae	Dichaetophora	lindae				other drosophilids	other drosophilids	Australasian	Australasian	EastAsia-Oceania		
D.littoralis	Drosophila	littoralis		virilis		virilis-repleta	virilis-repleta	Palearctic	Palearctic	Palearctic		
D.longiperda	Drosophila	longiperda		haleakalae	cilifemorata	hawaiian	hawaiian	Pacific Islands	Pacific Islands	Hawaii		hawaiian
D.lutescens	Drosophila	lutescens		takahashii	lutescens	melanogaster	melanogaster	Indo-Malayan	Palearctic	EastAsia-Oceania		Japan
D.macrospina	Drosophila	macrospina		funebris	macrospina	immigrans-tripunctata	immigrans-tripunctata	Nearctic	Nearctic	Nearctic		
D.macrothrix	Drosophila	macrothrix		grimshawi	conspicua	hawaiian	hawaiian	Pacific Islands	Pacific Islands	Hawaii		hawaiian
D.maculinotata	Drosophila	maculinotata				immigrans-tripunctata	immigrans-tripunctata	Indo-Malayan	Palearctic	EastAsia-Oceania		Japan
D.malerkotliana.malerkotliana	Drosophila	malerkotliana	malerkotliana	melanogaster	ananassae	melanogaster	melanogaster	Indo-Malayan	Cosmopolitan	EastAsia-Oceania		subcosmopolitan
D.malerkotliana.pallens	Drosophila	malerkotliana	pallens	melanogaster	ananassae	melanogaster	melanogaster	Indo-Malayan	Cosmopolitan	EastAsia-Oceania		subcosmopolitan
D.mauritiana.01	Drosophila	mauritiana		melanogaster	melanogaster	melanogaster	Dmel subgroup	Afrotropic	Afrotropic	Afrotropic		Mauritius
D.mauritiana.r32	Drosophila	mauritiana		melanogaster	melanogaster	melanogaster	Dmel subgroup	Afrotropic	Afrotropic	Afrotropic		Mauritius
D.mayaguana	Drosophila	mayaguana		repleta	mulleri	virilis-repleta	virilis-repleta	Neotropic	Neotropic	Neotropic		
D.melanocephala	Drosophila	melanocephala		planitibia	cyrtoloma	hawaiian	hawaiian	Pacific Islands	Pacific Islands	Hawaii		hawaiian
D.melanogaster.CanS	Drosophila	melanogaster		melanogaster	melanogaster	melanogaster	Dmel subgroup	Afrotropic	Cosmopolitan	Afrotropic		
D.melanogaster.ISO1	Drosophila	melanogaster		melanogaster	melanogaster	melanogaster	Dmel subgroup	Afrotropic	Cosmopolitan	Afrotropic		
D.melanogaster.RAL737	Drosophila	melanogaster		melanogaster	melanogaster	melanogaster	Dmel subgroup	Afrotropic	Cosmopolitan	Afrotropic		
D.melanogaster.TEN015	Drosophila	melanogaster		melanogaster	melanogaster	melanogaster	Dmel subgroup	Afrotropic	Cosmopolitan	Afrotropic		
D.melanogaster.TOM008	Drosophila	melanogaster		melanogaster	melanogaster	melanogaster	Dmel subgroup	Afrotropic	Cosmopolitan	Afrotropic		
