#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.base.inference.CompoundDistribution">
#    <distribution id="prior" spec="beast.base.inference.CompoundDistribution">
#        <distribution id="YuleModel.t:kuruka-insertions" spec="beast.base.evolution.speciation.YuleModel">
#            <parameter id="birthRate.t:kuruka-insertions" lower="0.0" name="birthDiffRate" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            <tree id="Tree.t:kuruka-insertions" spec="beast.base.evolution.tree.Tree">
#                <taxonset id="TaxonSet.kuruka-insertions" spec="beast.base.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="YuleBirthRatePrior.t:kuruka-insertions" name="distribution" x="@birthRate.t:kuruka-insertions">
#            <Uniform id="Uniform.1" name="distr" upper="Infinity"/>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.base.inference.CompoundDistribution" useThreads="true">
#        <distribution data="@kuruka-insertions" id="treeLikelihood.kuruka-insertions" spec="beast.base.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:kuruka-insertions">
#            <siteModel id="SiteModel.s:kuruka-insertions" spec="beast.base.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:kuruka-insertions" lower="0.0" name="mutationRate" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:kuruka-insertions" lower="0.1" name="shape" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:kuruka-insertions" lower="0.0" name="proportionInvariant" spec="beast.base.inference.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="JC69.s:kuruka-insertions" spec="beast.base.evolution.substitutionmodel.JukesCantor"/>
#            </siteModel>
#            <branchRateModel id="StrictClock.c:kuruka-insertions" spec="beast.base.evolution.branchratemodel.StrictClockModel">
#                <parameter estimate="false" id="clockRate.c:kuruka-insertions" lower="0.0" name="clock.rate" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	Tree.height	Tree.treeLength	YuleModel	birthRate
0	-249034.97022848713	-249024.24126128544	-10.728967201681522	-249024.24126128544	2.588875927284427	10.728967201681522	-10.728967201681522	1.0
1000	-142345.02599856272	-142418.6432083169	73.61720975419367	-142418.6432083169	0.33184590792196034	2.9600012741026824	73.61720975419367	11.734351819665626
2000	-120375.01215763862	-120461.70572065013	86.69356301152254	-120461.70572065013	0.16510146752330981	2.1426710828727717	86.69356301152254	14.613354288065535
3000	-104346.05923709886	-104447.9154482244	101.85621112554396	-104447.9154482244	0.1256503013350499	1.5970981866514309	101.85621112554396	28.854797552496176
4000	-91853.02804450472	-91962.85250290077	109.82445839605205	-91962.85250290077	0.14383982832644998	1.3209483624840146	109.82445839605205	28.854797552496176
5000	-88420.41127326291	-88532.22004203527	111.80876877236662	-88532.22004203527	0.15138581296766895	1.2521795425779183	111.80876877236662	28.854797552496176
6000	-86875.82959129525	-86989.27401651177	113.44442521652799	-86989.27401651177	0.16075284171893162	1.2162315702529887	113.44442521652799	31.2646743889015
7000	-86035.39432530722	-86148.70276850971	113.30844320249716	-86148.70276850971	0.16880277753052664	1.229381054805253	113.30844320249716	38.37417717619956
8000	-85651.71615612111	-85765.56111756063	113.84496143952586	-85765.56111756063	0.1730573658349826	1.2153998237663384	113.84496143952586	38.37417717619956
9000	-85372.18824086025	-85486.03488493012	113.8466440698659	-85486.03488493012	0.1806111856651913	1.216943230809088	113.8466440698659	35.11379450765239
10000	-85126.39354307228	-85239.64436564498	113.25082257270087	-85239.64436564498	0.18000566382647135	1.2298975454047374	113.25082257270087	38.79627976199345
11000	-84641.56033718187	-84755.70805498834	114.1477178064701	-84755.70805498834	0.18089206707088526	1.2019421538658228	114.1477178064701	32.747126378240985
12000	-84355.95144813452	-84470.49884715426	114.5473990197301	-84470.49884715426	0.18092138606387087	1.1949306791164456	114.5473990197301	39.62172134712413
13000	-84168.71256761136	-84282.7573235241	114.04475591273493	-84282.7573235241	0.18118589330596524	1.2076167283315078	114.04475591273493	39.62172134712413
14000	-83792.67740641611	-83905.7941718318	113.11676541569098	-83905.7941718318	0.1845893237773936	1.2371337148250758	113.11676541569098	34.39230907151747
